# 道路統計年報2025「道路の現況」の都道府県別道路現況。令和6年3月31日現在。
# 出典 国土交通省
#   表8  一般国道       https://www.mlit.go.jp/road/ir/ir-data/tokei-nen/2025/xlsx/d_genkyou08.xlsx
#   表11 都道府県道 計   https://www.mlit.go.jp/road/ir/ir-data/tokei-nen/2025/xlsx/d_genkyou11.xlsx
#   表12 主要地方道     https://www.mlit.go.jp/road/ir/ir-data/tokei-nen/2025/xlsx/d_genkyou12.xlsx
#   表13 一般都道府県道  https://www.mlit.go.jp/road/ir/ir-data/tokei-nen/2025/xlsx/d_genkyou13.xlsx
# 凡例 https://www.mlit.go.jp/road/ir/ir-data/tokei-nen/2025/pdf/d_hanrei.pdf
# 国土交通省の利用規約に従って再配布する。加工は、四つのシートから下の列だけを抜き、
# 行の種別(kind)と表の番号(table)を足したことに尽きる。値そのものは変えていない。
#
# 値の単位はメートルである。シートの見出しは Km と書くが、セルはメートルで入っている。
# kind=pref の 47 行と kind=city の 20 行は互いに素で、足すと kind=total 行に一致する。
# 政令指定都市は都道府県とは別の道路管理者なので、県の行に含まれない。
#
# 列と各表の見出しの対応:
#   total=総延長  concurrent=重用延長  unopened=未供用延長  unopened_sea=うち海上区間
#   ferry=渡船場の延長  actual=実延長  current=現道  former=旧道  new=新道
#   median=道路実延長のうち中央帯を設置した延長
# どの表でも 実延長 = 総延長 - 重用延長 - 未供用延長 - 渡船延長 で、
# 実延長 = 現道 + 旧道 + 新道 である。median は実延長の内数で、この和には入らない。
#
# routes(路線数)は数え上げなので足せない。表8 は合計の行だけが持ち、表11・表12・表13 は
# すべての行が持つ。後者を足すと表11 で合計を 404 上回る。政令指定都市とその県の両方に
# またがる路線が、二つの行に現れるためである。
#
# 表11 = 表12 + 表13 が、行ごとに、どの列でも成り立つ。路線数についても成り立つ。
# 写し間違いを機械で捕まえられるのは、合計の行との一致と、この分解の二つだけである。
# annual_report.py が読み込みのたびに両方を確かめる。
table,kind,code,name,total_m,concurrent_m,unopened_m,unopened_sea_m,ferry_m,actual_m,current_m,former_m,new_m,median_m,routes
8,pref,25,滋賀県,690580,56499,0,0,0,634081,572372,32783,28926,32580,
8,pref,26,京都府,930554,143439,0,0,0,787115,756568,8168,22379,89591,
8,pref,27,大阪府,527484,5875,0,0,0,521609,408342,50276,62991,147940,
8,pref,28,兵庫県,1490965,80032,45452,34000,0,1365481,1256295,50364,58822,249718,
8,pref,29,奈良県,897706,38165,0,0,0,859541,771378,18375,69788,67704,
8,pref,30,和歌山県,1159872,94858,4520,0,0,1060494,901387,49317,109790,94263,
8,pref,31,鳥取県,739608,134087,0,0,0,605521,507971,3762,93788,51048,
8,pref,32,島根県,1119008,36812,97600,97600,0,984596,888660,16772,79164,53381,
8,pref,33,岡山県,966274,89352,0,0,0,876922,835329,6942,34651,74724,
8,pref,34,広島県,1577457,238374,1852,0,0,1337231,1270088,24980,42163,105238,
8,pref,35,山口県,1191108,69865,4500,4500,0,1116743,1091717,0,25026,170083,
8,pref,36,徳島県,984815,281157,0,0,0,703658,663554,17939,22165,52227,
8,pref,37,香川県,491508,104320,30100,30100,0,357088,332522,5377,19189,98216,
8,pref,38,愛媛県,1387791,252913,51100,51100,0,1083778,1007268,19675,56835,83985,
8,pref,39,高知県,1308552,219751,0,0,0,1088801,994378,13422,81001,55705,
8,pref,40,福岡県,991491,59187,140,0,0,932164,716150,41068,174946,148986,
8,pref,41,佐賀県,702305,50168,20042,0,0,632095,588094,6293,37708,69006,
8,pref,42,長崎県,1316781,34343,289237,277900,0,993201,953929,26759,12513,51102,
8,pref,43,熊本県,1444626,229790,50900,42400,0,1163936,1095055,18642,50239,82714,
8,pref,44,大分県,1205153,131228,15000,15000,0,1058925,997978,22280,38667,63714,
8,pref,45,宮崎県,1469171,283091,5717,0,0,1180363,1107899,18658,53806,56934,
8,pref,46,鹿児島県,2091465,124643,661300,661300,0,1305522,1226863,24023,54636,54816,
8,pref,47,沖縄県,1090280,76600,507500,507500,0,506180,434908,48470,22802,105153,
8,city,0110,札幌市,152462,230,0,0,0,152232,152232,0,0,85069,
8,city,0410,仙台市,182727,40734,0,0,0,141993,141993,0,0,73135,
8,city,1110,さいたま市,100141,5062,0,0,0,95079,64637,5357,25085,38807,
8,city,1210,千葉市,114479,5732,0,0,0,108747,108589,158,0,59793,
8,city,1410,横浜市,192171,1200,28120,441,0,162851,135881,18188,8782,103502,
8,city,1413,川崎市,56991,104,3088,0,0,53799,53039,760,0,24053,
8,city,1415,相模原市,93914,3861,0,0,0,90053,85006,4547,500,17993,
8,city,1510,新潟市,312054,69207,33600,33600,0,209247,196900,746,11601,40618,
8,city,2210,静岡市,335226,75100,4051,0,0,256075,222513,27499,6063,57269,
8,city,2213,浜松市,174587,8981,0,0,0,165606,137781,1087,26738,49561,
8,city,2310,名古屋市,137832,6782,0,0,0,131050,131050,0,0,97247,
8,city,2610,京都市,190870,12427,0,0,0,178443,175850,593,2000,36431,
8,city,2710,大阪市,116306,7936,127,0,0,108243,99159,7484,1600,58350,
8,city,2714,堺市,29829,0,0,0,0,29829,29829,0,0,17767,
8,city,2810,神戸市,184332,41882,0,0,0,142450,124438,9692,8320,70112,
8,city,3310,岡山市,157351,11435,0,0,0,145916,138891,0,7025,41263,
8,city,3410,広島市,209461,24424,4000,4000,0,181037,155743,5431,19863,33745,
8,city,4010,北九州市,171381,1180,0,0,0,170201,134571,23128,12502,63316,
8,city,4013,福岡市,111467,86,0,0,0,111381,82812,0,28569,25983,
8,city,4310,熊本市,157485,51253,2347,0,0,103885,100037,680,3168,25442,
8,total,,合計,66556633,8044567,2318677,1953141,0,56193389,51777739,1337985,3077665,7498204,459
11,pref,01,北海道,13137668,1238867,265466,0,0,11633335,11633335,0,0,317848,868
11,pref,02,青森県,2657229,143859,0,0,0,2513370,2372101,63806,77463,24115,232
11,pref,03,岩手県,3039899,125208,19983,0,0,2894708,2855450,27673,11585,24063,233
11,pref,04,宮城県,2296942,198281,1394,0,0,2097267,2000490,46195,50582,57303,194
11,pref,05,秋田県,2663450,228774,58566,0,0,2376110,2346830,26818,2462,31999,186
11,pref,06,山形県,2828480,252921,53605,0,0,2521954,2500573,13962,7419,44150,248
11,pref,07,福島県,4629778,402543,4423,0,0,4222812,4140151,14599,68062,62945,371
11,pref,08,茨城県,3696811,312584,7012,0,0,3377215,3130946,102082,144187,156145,316
11,pref,09,栃木県,3000585,201413,5793,0,0,2793379,2712400,46265,34714,99446,291
11,pref,10,群馬県,2950389,363843,41357,0,145,2545044,2478423,17257,49364,84608,268
11,pref,11,埼玉県,2572517,281018,1379,0,330,2289790,2244218,27663,17909,105682,327
11,pref,12,千葉県,2835169,324714,3118,0,0,2507337,2356972,66110,84255,64139,284
11,pref,13,東京都,2469093,98670,26600,0,0,2343823,2264513,57985,21325,515563,286
11,pref,14,神奈川県,983408,85567,171,0,0,897670,859410,31901,6359,49023,126
11,pref,15,新潟県,4578418,433910,29378,0,0,4115130,4098335,11264,5531,10530,496
11,pref,16,富山県,2437294,259289,6968,0,0,2171037,2151562,7843,11632,54771,281
11,pref,17,石川県,2066882,169944,1938,0,0,1895000,1887894,2974,4132,118970,215
11,pref,18,福井県,1772712,174372,11774,0,0,1586566,1552327,13118,21121,18541,203
11,pref,19,山梨県,1502619,71607,2846,0,0,1428166,1372541,30871,24754,13487,168
11,pref,20,長野県,4306011,266485,166952,0,0,3872574,3743880,51862,76832,32461,396
11,pref,21,岐阜県,3342359,266240,0,0,118,3076001,3013168,9292,53541,68032,281
11,pref,22,静岡県,2491321,269695,976,0,0,2220650,2152803,44984,22863,33758,231
11,pref,23,愛知県,4239158,416809,124,0,993,3821232,3680704,16020,124508,363726,448
11,pref,24,三重県,2934505,284998,12291,1280,0,2637216,2602144,28179,6893,42654,305
11,pref,25,滋賀県,2039124,150502,763,0,0,1887859,1789401,47801,50657,27890,273
11,pref,26,京都府,1972387,199390,62679,0,317,1710001,1679027,21000,9974,21520,237
11,pref,27,大阪府,1305861,62186,131,0,0,1243544,1118126,32921,92497,150644,175
11,pref,28,兵庫県,4271502,314610,11925,0,0,3944967,3855327,3998,85642,107927,472
11,pref,29,奈良県,1320086,25553,0,0,0,1294533,1247278,20119,27136,22018,164
11,pref,30,和歌山県,2033916,127892,148,0,0,1905876,1759742,65262,80872,36749,190
11,pref,31,鳥取県,1914045,184597,78225,0,0,1651223,1625231,13579,12413,29246,219
11,pref,32,島根県,2843050,348687,3555,0,0,2490808,2435320,43738,11750,8031,236
11,pref,33,岡山県,3148539,128802,11622,0,0,3008115,2953530,30165,24420,44844,320
11,pref,34,広島県,3563288,280969,221,0,0,3282098,3179402,102696,0,1248,335
11,pref,35,山口県,3118668,304902,8345,661,0,2805421,2781709,8522,15190,51669,261
11,pref,36,徳島県,2076419,276765,1626,0,407,1797621,1676778,74716,46127,33027,205
11,pref,37,香川県,1661657,95091,4130,0,0,1562436,1505372,23816,33248,73769,188
11,pref,38,愛媛県,3105084,207916,14692,1250,0,2882476,2811662,50924,19890,21429,241
11,pref,39,高知県,2424841,154551,175260,0,645,2094385,2037334,39304,17747,6906,189
11,pref,40,福岡県,3252206,207599,39058,0,0,3005549,2774433,57481,173635,71866,387
11,pref,41,佐賀県,1420103,125533,23119,0,0,1271451,1231156,19427,20868,14413,178
11,pref,42,長崎県,1727207,52909,0,0,0,1674298,1606795,60601,6902,23187,169
11,pref,43,熊本県,2953688,250557,70407,0,0,2632724,2589386,37657,5681,14878,236
11,pref,44,大分県,2616112,82766,5977,0,0,2527369,2448144,70502,8723,42521,240
11,pref,45,宮崎県,2265872,89197,158185,0,0,2018490,2003933,7885,6672,45387,191
11,pref,46,鹿児島県,3749170,172640,26261,0,0,3550269,3454506,93147,2616,53566,276
11,pref,47,沖縄県,1279561,117993,74659,0,0,1086909,987417,89520,9972,65985,142
11,city,0110,札幌市,314535,18522,4423,0,0,291590,288798,0,2792,75511,35
11,city,0410,仙台市,237983,12583,0,0,0,225400,222827,162,2411,52547,34
11,city,1110,さいたま市,228401,25054,0,0,0,203347,192345,8527,2475,19875,39
11,city,1210,千葉市,123075,826,493,0,0,121756,120783,973,0,16737,23
11,city,1410,横浜市,307123,14011,0,0,0,293112,293112,0,0,80658,36
11,city,1413,川崎市,123116,14391,0,0,0,108725,108725,0,0,21551,20
11,city,1415,相模原市,210086,19833,0,0,0,190253,180940,3968,5345,3669,31
11,city,1510,新潟市,629677,93080,0,0,0,536597,517275,797,18525,21462,64
11,city,2210,静岡市,744781,57504,14171,0,0,673106,662411,6539,4156,10191,61
11,city,2213,浜松市,430625,45347,0,0,0,385278,379636,3742,1900,35615,43
11,city,2310,名古屋市,447747,69809,0,0,0,377938,377938,0,0,189387,66
11,city,2610,京都市,567967,66492,21919,0,0,479556,470434,9122,0,34281,94
11,city,2710,大阪市,388017,37916,1297,0,355,348449,336897,11552,0,145692,48
11,city,2714,堺市,252914,32262,9485,0,0,211167,175312,5334,30521,59379,30
11,city,2810,神戸市,508415,66392,3748,0,0,438275,395644,41174,1457,89735,49
11,city,3310,岡山市,570505,25296,0,0,0,545209,538041,3492,3676,42997,90
11,city,3410,広島市,479250,51024,4498,0,0,423728,423098,37,593,47082,53
11,city,4010,北九州市,264709,12395,1285,0,0,251029,243426,7603,0,44749,47
11,city,4013,福岡市,269591,28776,0,0,0,240815,234873,0,5942,22318,48
11,city,4310,熊本市,364651,38162,1200,0,0,325289,299140,15565,10584,22853,49
11,total,,合計,142958251,11562893,1555621,3191,3310,129836427,126163834,1892091,1780502,4398968,13334
12,pref,01,北海道,4840012,426308,42985,0,0,4370719,4370719,0,0,193961,146
12,pref,02,青森県,1298840,57347,0,0,0,1241493,1156687,33563,51243,20485,47
12,pref,03,岩手県,1391441,62929,0,0,0,1328512,1297209,23231,8072,17184,49
12,pref,04,宮城県,1149827,87226,1394,0,0,1061207,989458,31209,40540,34637,59
12,pref,05,秋田県,1434667,147332,23670,0,0,1263665,1244649,17019,1997,31152,56
12,pref,06,山形県,1271058,98560,20109,0,0,1152389,1136081,11569,4739,31916,61
12,pref,07,福島県,2086172,181043,0,0,0,1905129,1845242,10496,49391,48877,76
12,pref,08,茨城県,1818130,166925,109,0,0,1651096,1504104,67934,79058,94735,69
12,pref,09,栃木県,1438843,92018,2996,0,0,1343829,1279357,39049,25423,89596,71
12,pref,10,群馬県,1453911,181846,11900,0,145,1260020,1212626,10516,36878,77574,72
12,pref,11,埼玉県,1245553,105642,0,0,330,1139581,1110898,16786,11897,60828,89
12,pref,12,千葉県,1468977,157555,1170,0,0,1310252,1190194,44519,75539,30603,89
12,pref,13,東京都,983784,25952,5646,0,0,952186,898596,43384,10206,250052,65
12,pref,14,神奈川県,555757,59359,171,0,0,496227,466556,23601,6070,34900,36
12,pref,15,新潟県,1763238,148733,12551,0,0,1601954,1590171,7794,3989,8482,80
12,pref,16,富山県,1170823,117424,4020,0,0,1049379,1037646,6364,5369,47698,63
12,pref,17,石川県,1066688,90217,0,0,0,976471,974474,699,1298,105051,53
12,pref,18,福井県,639495,65897,0,0,0,573598,558928,2958,11712,4868,38
12,pref,19,山梨県,680802,36228,0,0,0,644574,602181,21376,21017,10839,36
12,pref,20,長野県,1652219,66509,0,0,0,1585710,1505084,25264,55362,17488,82
12,pref,21,岐阜県,1506427,86142,0,0,0,1420285,1387206,3997,29082,46125,75
12,pref,22,静岡県,1108599,116723,976,0,0,990900,937187,35454,18259,18404,56
12,pref,23,愛知県,1498582,126577,124,0,0,1371881,1284323,4628,82930,251397,80
12,pref,24,三重県,1159317,59970,324,270,0,1099023,1076885,20178,1960,33743,69
12,pref,25,滋賀県,737704,71072,734,0,0,665898,613791,22899,29208,20956,52
12,pref,26,京都府,978795,80657,13936,0,0,884202,860372,13990,9840,15186,65
12,pref,27,大阪府,702888,27393,131,0,0,675364,564468,31026,79870,91317,46
12,pref,28,兵庫県,1666228,117851,1312,0,0,1547065,1493611,2558,50896,55298,92
12,pref,29,奈良県,616431,19013,0,0,0,597418,566013,10929,20476,13307,37
12,pref,30,和歌山県,1003651,67194,0,0,0,936457,858645,29667,48145,23382,47
12,pref,31,鳥取県,807785,46089,33707,0,0,727989,707373,10608,10008,23998,43
12,pref,32,島根県,1223353,100851,0,0,0,1122502,1099021,17424,6057,5050,51
12,pref,33,岡山県,1291218,66952,800,0,0,1223466,1191963,20345,11158,28564,63
12,pref,34,広島県,1504911,117557,0,0,0,1387354,1327963,59391,0,0,71
12,pref,35,山口県,1344804,110440,7029,0,0,1227335,1218436,2976,5923,28270,61
12,pref,36,徳島県,899139,52746,102,0,0,846291,767660,40137,38494,29519,43
12,pref,37,香川県,711507,25408,1440,0,0,684659,654641,10685,19333,42242,46
12,pref,38,愛媛県,1178026,85575,0,0,0,1092451,1051214,29567,11670,19478,54
12,pref,39,高知県,1153778,78009,43592,0,0,1032177,992234,28758,11185,4867,48
12,pref,40,福岡県,1493122,78330,15329,0,0,1399463,1228649,45173,125641,50431,88
12,pref,41,佐賀県,583472,36722,0,0,0,546750,526293,10852,9605,7665,42
12,pref,42,長崎県,847980,26851,0,0,0,821129,781655,37516,1958,7594,53
12,pref,43,熊本県,1127502,53779,18829,0,0,1054894,1036275,17293,1326,7658,52
12,pref,44,大分県,1004193,15732,1396,0,0,987065,952306,29873,4886,25988,45
12,pref,45,宮崎県,1022350,47217,6576,0,0,968557,963215,5342,0,36783,48
12,pref,46,鹿児島県,1710733,89878,6431,0,0,1614424,1550441,63097,886,25648,61
12,pref,47,沖縄県,482368,58631,11107,0,0,412630,370687,38910,3033,46375,25
12,city,0110,札幌市,204104,8952,4423,0,0,190729,190729,0,0,55908,17
12,city,0410,仙台市,136449,3890,0,0,0,132559,132397,162,0,28149,12
12,city,1110,さいたま市,119943,10917,0,0,0,109026,101170,6250,1606,11853,14
12,city,1210,千葉市,98319,581,493,0,0,97245,96617,628,0,14098,12
12,city,1410,横浜市,183941,8465,0,0,0,175476,175476,0,0,42142,19
12,city,1413,川崎市,89395,12403,0,0,0,76992,76992,0,0,8669,11
12,city,1415,相模原市,86997,2569,0,0,0,84428,83248,1180,0,1185,11
12,city,1510,新潟市,388272,55989,0,0,0,332283,314305,664,17314,17214,21
12,city,2210,静岡市,340045,20335,5978,0,0,313732,305348,4587,3797,7463,18
12,city,2213,浜松市,142121,4469,0,0,0,137652,136679,973,0,32554,10
12,city,2310,名古屋市,256759,40740,0,0,0,216019,216019,0,0,144901,29
12,city,2610,京都市,284179,45242,13891,0,0,225046,218542,6504,0,24866,31
12,city,2710,大阪市,240543,28042,1282,0,355,210864,202800,8064,0,80949,28
12,city,2714,堺市,148135,10510,670,0,0,136955,105958,5334,25663,42749,13
12,city,2810,神戸市,352064,41051,3748,0,0,307265,273801,33464,0,51990,22
12,city,3310,岡山市,290580,17842,0,0,0,272738,267031,2673,3034,36364,23
12,city,3410,広島市,269300,35011,1629,0,0,232660,232660,0,0,32286,16
12,city,4010,北九州市,158406,5398,0,0,0,153008,145405,7603,0,34521,17
12,city,4013,福岡市,100615,9089,0,0,0,91526,88440,0,3086,13462,13
12,city,4310,熊本市,116749,6824,1200,0,0,108725,103233,5492,0,11626,15
12,total,,合計,62782016,4606728,323910,270,830,57850548,55500237,1164182,1186129,2863120,3018
13,pref,01,北海道,8297656,812559,222481,0,0,7262616,7262616,0,0,123887,722
13,pref,02,青森県,1358389,86512,0,0,0,1271877,1215414,30243,26220,3630,185
13,pref,03,岩手県,1648458,62279,19983,0,0,1566196,1558241,4442,3513,6879,184
13,pref,04,宮城県,1147115,111055,0,0,0,1036060,1011032,14986,10042,22666,135
13,pref,05,秋田県,1228783,81442,34896,0,0,1112445,1102181,9799,465,847,130
13,pref,06,山形県,1557422,154361,33496,0,0,1369565,1364492,2393,2680,12234,187
13,pref,07,福島県,2543606,221500,4423,0,0,2317683,2294909,4103,18671,14068,295
13,pref,08,茨城県,1878681,145659,6903,0,0,1726119,1626842,34148,65129,61410,247
13,pref,09,栃木県,1561742,109395,2797,0,0,1449550,1433043,7216,9291,9850,220
13,pref,10,群馬県,1496478,181997,29457,0,0,1285024,1265797,6741,12486,7034,196
13,pref,11,埼玉県,1326964,175376,1379,0,0,1150209,1133320,10877,6012,44854,238
13,pref,12,千葉県,1366192,167159,1948,0,0,1197085,1166778,21591,8716,33536,195
13,pref,13,東京都,1485309,72718,20954,0,0,1391637,1365917,14601,11119,265511,221
13,pref,14,神奈川県,427651,26208,0,0,0,401443,392854,8300,289,14123,90
13,pref,15,新潟県,2815180,285177,16827,0,0,2513176,2508164,3470,1542,2048,416
13,pref,16,富山県,1266471,141865,2948,0,0,1121658,1113916,1479,6263,7073,218
13,pref,17,石川県,1000194,79727,1938,0,0,918529,913420,2275,2834,13919,162
13,pref,18,福井県,1133217,108475,11774,0,0,1012968,993399,10160,9409,13673,165
13,pref,19,山梨県,821817,35379,2846,0,0,783592,770360,9495,3737,2648,132
13,pref,20,長野県,2653792,199976,166952,0,0,2286864,2238796,26598,21470,14973,314
13,pref,21,岐阜県,1835932,180098,0,0,118,1655716,1625962,5295,24459,21907,206
13,pref,22,静岡県,1382722,152972,0,0,0,1229750,1215616,9530,4604,15354,175
13,pref,23,愛知県,2740576,290232,0,0,993,2449351,2396381,11392,41578,112329,368
13,pref,24,三重県,1775188,225028,11967,1010,0,1538193,1525259,8001,4933,8911,236
13,pref,25,滋賀県,1301420,79430,29,0,0,1221961,1175610,24902,21449,6934,221
13,pref,26,京都府,993592,118733,48743,0,317,825799,818655,7010,134,6334,172
13,pref,27,大阪府,602973,34793,0,0,0,568180,553658,1895,12627,59327,129
13,pref,28,兵庫県,2605274,196759,10613,0,0,2397902,2361716,1440,34746,52629,380
13,pref,29,奈良県,703655,6540,0,0,0,697115,681265,9190,6660,8711,127
13,pref,30,和歌山県,1030265,60698,148,0,0,969419,901097,35595,32727,13367,143
13,pref,31,鳥取県,1106260,138508,44518,0,0,923234,917858,2971,2405,5248,176
13,pref,32,島根県,1619697,247836,3555,0,0,1368306,1336299,26314,5693,2981,185
13,pref,33,岡山県,1857321,61850,10822,0,0,1784649,1761567,9820,13262,16280,257
13,pref,34,広島県,2058377,163412,221,0,0,1894744,1851439,43305,0,1248,264
13,pref,35,山口県,1773864,194462,1316,661,0,1578086,1563273,5546,9267,23399,200
13,pref,36,徳島県,1177280,224019,1524,0,407,951330,909118,34579,7633,3508,162
13,pref,37,香川県,950150,69683,2690,0,0,877777,850731,13131,13915,31527,142
13,pref,38,愛媛県,1927058,122341,14692,1250,0,1790025,1760448,21357,8220,1951,187
13,pref,39,高知県,1271063,76542,131668,0,645,1062208,1045100,10546,6562,2039,141
13,pref,40,福岡県,1759084,129269,23729,0,0,1606086,1545784,12308,47994,21435,299
13,pref,41,佐賀県,836631,88811,23119,0,0,724701,704863,8575,11263,6748,136
13,pref,42,長崎県,879227,26058,0,0,0,853169,825140,23085,4944,15593,116
13,pref,43,熊本県,1826186,196778,51578,0,0,1577830,1553111,20364,4355,7220,184
13,pref,44,大分県,1611919,67034,4581,0,0,1540304,1495838,40629,3837,16533,195
13,pref,45,宮崎県,1243522,41980,151609,0,0,1049933,1040718,2543,6672,8604,143
13,pref,46,鹿児島県,2038437,82762,19830,0,0,1935845,1904065,30050,1730,27918,215
13,pref,47,沖縄県,797193,59362,63552,0,0,674279,616730,50610,6939,19610,117
13,city,0110,札幌市,110431,9570,0,0,0,100861,98069,0,2792,19603,18
13,city,0410,仙台市,101534,8693,0,0,0,92841,90430,0,2411,24398,22
13,city,1110,さいたま市,108458,14137,0,0,0,94321,91175,2277,869,8022,25
13,city,1210,千葉市,24756,245,0,0,0,24511,24166,345,0,2639,11
13,city,1410,横浜市,123182,5546,0,0,0,117636,117636,0,0,38516,17
13,city,1413,川崎市,33721,1988,0,0,0,31733,31733,0,0,12882,9
13,city,1415,相模原市,123089,17264,0,0,0,105825,97692,2788,5345,2484,20
13,city,1510,新潟市,241405,37091,0,0,0,204314,202970,133,1211,4248,43
13,city,2210,静岡市,404736,37169,8193,0,0,359374,357063,1952,359,2728,43
13,city,2213,浜松市,288504,40878,0,0,0,247626,242957,2769,1900,3061,33
13,city,2310,名古屋市,190988,29069,0,0,0,161919,161919,0,0,44486,37
13,city,2610,京都市,283788,21250,8028,0,0,254510,251892,2618,0,9415,63
13,city,2710,大阪市,147474,9874,15,0,0,137585,134097,3488,0,64743,20
13,city,2714,堺市,104779,21752,8815,0,0,74212,69354,0,4858,16630,17
13,city,2810,神戸市,156351,25341,0,0,0,131010,121843,7710,1457,37745,27
13,city,3310,岡山市,279925,7454,0,0,0,272471,271010,819,642,6633,67
13,city,3410,広島市,209950,16013,2869,0,0,191068,190438,37,593,14796,37
13,city,4010,北九州市,106303,6997,1285,0,0,98021,98021,0,0,10228,30
13,city,4013,福岡市,168976,19687,0,0,0,149289,146433,0,2856,8856,35
13,city,4310,熊本市,247902,31338,0,0,0,216564,195907,10073,10584,11227,34
13,total,,合計,80176235,6956165,1231711,2921,2480,71985879,70663597,727909,594373,1535848,10316
